Alpha\(I;N),,(100;20),(100;50),(100;100),(100;200),(200;20),(200;50),(200;100),(200;200),(500;20),(500;50),(500;100),(500;200)
0,Time,0.678 +/- 0.07,1.496 +/- 0.059,2.843 +/- 0.101,5.769 +/- 0.287,1.161 +/- 0.102,2.853 +/- 0.108,5.647 +/- 0.139,11.211 +/- 0.207,2.964 +/- 0.106,7.32 +/- 0.396,14.078 +/- 0.196,28.583 +/- 0.611
0,Error,0.039 +/- 0.096,-0.023 +/- 0.094,0.043 +/- 0.034,0.03 +/- 0.125,-0.005 +/- 0.051,-0.026 +/- 0.064,-0.014 +/- 0.086,-0.013 +/- 0.07,-0.038 +/- 0.018,0.043 +/- 0.066,-0.053 +/- 0.072,0.003 +/- 0.033
0.02,Time,0.592 +/- 0.039,1.553 +/- 0.282,2.847 +/- 0.118,5.655 +/- 0.136,1.219 +/- 0.079,2.887 +/- 0.123,5.783 +/- 0.322,11.058 +/- 0.26,2.978 +/- 0.203,6.948 +/- 0.131,13.65 +/- 0.289,43.832 +/- 23.0
0.02,Error,0.045 +/- 0.055,-0.112 +/- 0.028,-0.054 +/- 0.107,-0.11 +/- 0.026,0.027 +/- 0.068,-0.033 +/- 0.056,0.042 +/- 0.083,-0.076 +/- 0.045,0.004 +/- 0.035,-0.004 +/- 0.028,0.008 +/- 0.013,0.016 +/- 0.021
0.05,Time,0.561 +/- 0.032,1.319 +/- 0.069,2.653 +/- 0.091,5.44 +/- 0.176,1.253 +/- 0.255,2.71 +/- 0.132,5.5 +/- 0.258,10.811 +/- 0.302,2.905 +/- 0.308,6.895 +/- 0.137,13.7 +/- 0.416,25.749 +/- 1.963
0.05,Error,0.029 +/- 0.044,-0.103 +/- 0.014,0.047 +/- 0.388,-0.1 +/- 0.024,0.045 +/- 0.032,-0.015 +/- 0.051,-0.038 +/- 0.069,-0.091 +/- 0.064,-0.021 +/- 0.024,0.036 +/- 0.061,-0.006 +/- 0.018,0.019 +/- 0.035
0.2,Time,0.492 +/- 0.03,1.217 +/- 0.023,2.411 +/- 0.101,4.782 +/- 0.087,0.995 +/- 0.037,2.438 +/- 0.06,4.765 +/- 0.078,9.589 +/- 0.382,2.435 +/- 0.057,5.903 +/- 0.076,12.145 +/- 0.322,29.774 +/- 13.926
0.2,Error,-0.083 +/- 0.153,-0.201 +/- 0.127,-0.239 +/- 0.081,-0.323 +/- 0.034,0.026 +/- 0.046,-0.095 +/- 0.067,0.01 +/- 0.228,-0.116 +/- 0.024,0.004 +/- 0.039,-0.018 +/- 0.027,-0.003 +/- 0.037,-0.025 +/- 0.027
0.5,Time,0.739 +/- 0.043,1.749 +/- 0.028,3.851 +/- 3.479,8.463 +/- 7.264,1.494 +/- 0.614,2.658 +/- 0.979,4.661 +/- 0.148,9.531 +/- 0.339,2.454 +/- 0.086,5.992 +/- 0.256,11.81 +/- 0.171,23.886 +/- 0.632
0.5,Error,-6.078 +/- 1.196,-6.178 +/- 0.631,-6.406 +/- 0.687,-6.227 +/- 0.106,-0.357 +/- 0.322,-0.807 +/- 0.181,-1.093 +/- 0.384,-1.003 +/- 0.327,-0.064 +/- 0.037,-0.099 +/- 0.014,-0.146 +/- 0.02,-0.175 +/- 0.032
1,Time,0.517 +/- 0.033,1.254 +/- 0.04,2.478 +/- 0.12,4.8 +/- 0.254,0.997 +/- 0.046,2.405 +/- 0.09,4.865 +/- 0.202,9.355 +/- 0.156,2.454 +/- 0.101,6.01 +/- 0.123,11.859 +/- 0.329,23.359 +/- 0.455
1,Error,-17.021 +/- 1.011,-16.958 +/- 1.068,-17.211 +/- 0.93,-17.378 +/- 1.024,-15.59 +/- 4.105,-16.435 +/- 3.498,-14.285 +/- 3.405,-17.148 +/- 4.013,-9.923 +/- 2.401,-10.352 +/- 1.829,-9.884 +/- 2.074,-9.625 +/- 1.89
