Alpha\(I;N),,(100;20),(100;50),(100;100),(200;20),(200;50),(200;100),(350;20),(350;50),(350;100),(500;20),(500;50),(500;100),(750;20),(750;50),(750;100)
0.0,Time,1.42 +/- 0.239,3.163 +/- 0.022,9.552 +/- 4.72,3.558 +/- 1.428,9.193 +/- 2.768,12.374 +/- 0.064,4.512 +/- 0.046,10.916 +/- 0.04,21.681 +/- 0.098,6.49 +/- 0.067,15.659 +/- 0.084,31.349 +/- 0.594,9.585 +/- 0.048,23.415 +/- 0.091,46.356 +/- 0.15
0.0,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.846 +/- 1.692,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,-0.577 +/- 3.155,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.701 +/- 0.386,-0.402 +/- 2.142
0.02,Time,1.297 +/- 0.014,3.117 +/- 0.016,6.221 +/- 0.073,2.581 +/- 0.025,6.243 +/- 0.029,12.36 +/- 0.038,4.536 +/- 0.037,11.649 +/- 0.253,23.188 +/- 0.331,6.811 +/- 0.092,16.596 +/- 0.197,32.784 +/- 0.213,10.259 +/- 0.102,24.739 +/- 0.284,49.358 +/- 0.418
0.02,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,2.306 +/- 1.995,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,-0.577 +/- 3.155,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.994 +/- 0.018,-2.886 +/- 2.108
0.05,Time,1.363 +/- 0.015,3.311 +/- 0.045,6.599 +/- 0.042,2.76 +/- 0.041,6.726 +/- 0.068,13.249 +/- 0.091,4.8 +/- 0.046,11.729 +/- 0.097,23.138 +/- 0.164,6.818 +/- 0.026,16.481 +/- 0.58,30.534 +/- 0.099,9.555 +/- 0.036,23.143 +/- 0.092,45.807 +/- 0.156
0.05,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.711 +/- 2.778,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,-1.366 +/- 3.615,0.341 +/- 1.187,-4.577 +/- 3.182,1.098 +/- 0.149,-1.403 +/- 4.318,-2.178 +/- 1.594
0.2,Time,1.277 +/- 0.016,3.092 +/- 0.019,6.129 +/- 0.027,2.542 +/- 0.023,6.176 +/- 0.035,12.239 +/- 0.05,4.468 +/- 0.023,10.808 +/- 0.05,21.402 +/- 0.069,6.356 +/- 0.06,15.734 +/- 0.38,31.763 +/- 0.097,9.915 +/- 0.054,24.045 +/- 0.076,47.773 +/- 0.13
0.2,Error,1.0 +/- 0.0,-0.205 +/- 2.41,-1.083 +/- 3.182,1.0 +/- 0.0,-0.209 +/- 2.417,-3.15 +/- 0.593,-0.883 +/- 3.767,-3.989 +/- 0.772,-2.785 +/- 1.114,-0.528 +/- 3.51,-3.105 +/- 0.766,-2.994 +/- 0.867,-1.939 +/- 2.516,-3.202 +/- 0.509,-2.976 +/- 0.903
0.5,Time,1.336 +/- 0.024,3.205 +/- 0.028,6.365 +/- 0.029,2.647 +/- 0.027,6.407 +/- 0.024,12.742 +/- 0.063,4.642 +/- 0.03,11.416 +/- 0.1,22.605 +/- 0.1,6.733 +/- 0.056,16.293 +/- 0.08,32.294 +/- 0.154,10.03 +/- 0.046,24.398 +/- 0.183,47.84 +/- 0.116
0.5,Error,-2.856 +/- 4.723,-0.853 +/- 3.086,-7.627 +/- 2.944,0.461 +/- 1.617,-4.441 +/- 2.139,-5.713 +/- 0.312,-2.129 +/- 4.326,-5.503 +/- 0.868,-5.095 +/- 1.153,-6.955 +/- 1.746,-5.224 +/- 1.073,-4.732 +/- 0.958,-5.225 +/- 1.004,-4.416 +/- 0.413,-5.273 +/- 0.899
0.75,Time,1.325 +/- 0.021,3.208 +/- 0.026,6.697 +/- 0.395,2.777 +/- 0.104,6.499 +/- 0.145,12.783 +/- 0.073,4.636 +/- 0.021,11.241 +/- 0.034,22.317 +/- 0.053,6.619 +/- 0.027,16.065 +/- 0.089,32.022 +/- 0.158,9.956 +/- 0.03,24.189 +/- 0.069,47.917 +/- 0.13
0.75,Error,-0.148 +/- 3.445,-5.422 +/- 6.513,-9.523 +/- 5.912,1.0 +/- 0.0,-7.518 +/- 3.205,-7.65 +/- 1.066,-0.749 +/- 3.498,-7.293 +/- 0.184,-7.09 +/- 0.298,-6.88 +/- 0.788,-8.405 +/- 2.008,-7.053 +/- 1.129,-6.733 +/- 0.862,-6.507 +/- 1.439,-6.141 +/- 1.664
1.0,Time,1.327 +/- 0.016,3.226 +/- 0.048,6.36 +/- 0.041,2.659 +/- 0.029,6.43 +/- 0.067,12.738 +/- 0.051,4.638 +/- 0.038,11.276 +/- 0.104,22.255 +/- 0.082,6.599 +/- 0.022,16.128 +/- 0.141,31.772 +/- 0.158,9.935 +/- 0.076,24.36 +/- 0.56,48.273 +/- 0.367
1.0,Error,-7.335 +/- 12.732,-13.43 +/- 12.132,-17.148 +/- 12.607,-4.557 +/- 11.114,-21.345 +/- 11.572,-25.592 +/- 3.424,-5.095 +/- 9.31,-25.22 +/- 4.07,-26.339 +/- 2.715,-22.848 +/- 8.535,-26.568 +/- 3.893,-26.811 +/- 3.929,-26.902 +/- 2.92,-27.409 +/- 3.186,-27.07 +/- 2.957
