Alpha\(I;N),,(100;20),(100;50),(100;100),(200;20),(200;50),(200;100),(350;20),(350;50),(350;100),(500;20),(500;50),(500;100),(750;20),(750;50),(750;100)
0,Time,0.902 +/- 0.043,2.133 +/- 0.025,4.196 +/- 0.027,8.401 +/- 0.112,1.744 +/- 0.024,4.241 +/- 0.039,8.335 +/- 0.034,16.714 +/- 0.179,4.457 +/- 0.038,10.751 +/- 0.033,21.418 +/- 0.108,42.859 +/- 0.742,,,
0,Error,-0.039 +/- 0.154,-0.171 +/- 0.078,0.004 +/- 0.155,-0.132 +/- 0.138,0.022 +/- 0.069,0.034 +/- 0.113,-0.177 +/- 0.082,0.084 +/- 0.066,-0.002 +/- 0.057,0.006 +/- 0.073,0.028 +/- 0.071,-0.089 +/- 0.07,,,
0.02,Time,0.908 +/- 0.02,2.212 +/- 0.044,4.361 +/- 0.068,9.071 +/- 0.196,1.953 +/- 0.049,4.699 +/- 0.07,10.656 +/- 0.844,22.287 +/- 0.277,5.697 +/- 0.114,22.05 +/- 14.541,41.214 +/- 15.494,80.553 +/- 35.838,,,
0.02,Error,-0.072 +/- 0.142,0.038 +/- 0.038,0.012 +/- 0.05,0.043 +/- 0.048,0.016 +/- 0.075,0.091 +/- 0.074,0.011 +/- 0.052,0.021 +/- 0.027,-0.002 +/- 0.035,-0.001 +/- 0.047,0.006 +/- 0.043,-0.004 +/- 0.014,,,
0.05,Time,1.151 +/- 0.056,2.759 +/- 0.045,5.46 +/- 0.143,10.778 +/- 0.16,2.288 +/- 0.09,5.484 +/- 0.092,27.659 +/- 17.324,21.279 +/- 1.836,5.524 +/- 0.168,13.489 +/- 0.247,27.381 +/- 0.316,51.916 +/- 3.28,,,
0.05,Error,-0.013 +/- 0.14,0.072 +/- 0.061,0.023 +/- 0.129,0.018 +/- 0.082,0.078 +/- 0.061,0.039 +/- 0.044,0.03 +/- 0.021,0.03 +/- 0.036,0.037 +/- 0.047,0.006 +/- 0.028,0.011 +/- 0.006,0.014 +/- 0.016,,,
0.2,Time,1.006 +/- 0.062,2.401 +/- 0.036,4.742 +/- 0.067,9.367 +/- 0.132,1.978 +/- 0.038,4.776 +/- 0.041,9.42 +/- 0.108,19.679 +/- 2.38,6.93 +/- 0.505,15.532 +/- 0.633,29.598 +/- 0.591,58.575 +/- 0.825,,,
0.2,Error,-0.007 +/- 0.302,-0.89 +/- 0.432,-1.126 +/- 0.302,-1.214 +/- 0.355,-0.035 +/- 0.009,-0.067 +/- 0.061,-0.129 +/- 0.044,-0.287 +/- 0.119,0.054 +/- 0.031,-0.025 +/- 0.038,-0.021 +/- 0.05,-0.066 +/- 0.026,,,
0.5,Time,1.268 +/- 0.09,2.972 +/- 0.165,5.972 +/- 0.248,12.166 +/- 0.417,2.546 +/- 0.161,6.015 +/- 0.318,11.717 +/- 0.372,23.522 +/- 0.734,6.232 +/- 0.289,14.689 +/- 0.28,28.923 +/- 0.693,50.596 +/- 3.143,,,
0.5,Error,-53.613 +/- 4.697,-57.489 +/- 4.357,-56.161 +/- 3.117,-56.247 +/- 3.518,-23.22 +/- 4.412,-37.612 +/- 4.317,-38.369 +/- 1.753,-37.562 +/- 2.188,-0.138 +/- 0.083,-5.189 +/- 7.482,-5.11 +/- 9.506,-9.807 +/- 11.267,,,
1,Time,1.022 +/- 0.036,2.57 +/- 0.301,4.889 +/- 0.121,10.06 +/- 0.312,2.16 +/- 0.254,4.957 +/- 0.167,9.852 +/- 0.339,19.676 +/- 0.401,5.119 +/- 0.127,12.653 +/- 0.239,26.835 +/- 1.715,57.255 +/- 1.061,,,
1,Error,-114.594 +/- 7.219,-109.825 +/- 8.857,-105.121 +/- 8.157,-113.011 +/- 9.514,-109.515 +/- 9.946,-104.216 +/- 10.145,-104.862 +/- 10.234,-104.662 +/- 10.098,-84.773 +/- 15.495,-81.258 +/- 14.922,-89.11 +/- 16.834,-85.41 +/- 17.313,,,
