Alpha\(I;N),,(350;20),(350;50),(350;100),(750;20),(750;50),(750;100)
0.0,Time,3.263 +/- 0.086,7.929 +/- 0.274,17.279 +/- 0.879,7.479 +/- 0.078,18.176 +/- 0.188,41.426 +/- 0.8
0.0,Error,-0.012 +/- 0.1,0.03 +/- 0.037,-0.047 +/- 0.079,-0.022 +/- 0.046,0.039 +/- 0.054,-0.027 +/- 0.054
0.02,Time,3.985 +/- 0.063,9.788 +/- 0.136,19.313 +/- 0.238,8.629 +/- 0.124,20.881 +/- 0.228,41.304 +/- 0.28
0.02,Error,-0.023 +/- 0.058,0.016 +/- 0.03,0.02 +/- 0.009,-0.03 +/- 0.012,0.027 +/- 0.023,-0.003 +/- 0.014
0.05,Time,4.061 +/- 0.095,9.851 +/- 0.199,19.318 +/- 0.235,8.415 +/- 0.366,20.261 +/- 1.225,41.983 +/- 0.487
0.05,Error,0.038 +/- 0.01,0.016 +/- 0.045,0.017 +/- 0.016,0.004 +/- 0.019,0.014 +/- 0.008,0.01 +/- 0.015
0.2,Time,4.166 +/- 0.174,9.866 +/- 0.13,19.706 +/- 0.253,8.736 +/- 0.138,21.125 +/- 0.278,42.034 +/- 0.347
0.2,Error,0.047 +/- 0.05,-0.009 +/- 0.08,0.01 +/- 0.066,-0.01 +/- 0.015,-0.011 +/- 0.015,0.014 +/- 0.057
0.5,Time,4.01 +/- 0.076,9.878 +/- 0.119,19.638 +/- 0.236,8.721 +/- 0.163,21.018 +/- 0.179,42.137 +/- 0.262
0.5,Error,-1.048 +/- 0.852,-15.036 +/- 13.958,-22.896 +/- 11.136,-0.08 +/- 0.027,-0.08 +/- 0.086,-0.149 +/- 0.053
1.0,Time,4.031 +/- 0.159,9.745 +/- 0.171,19.924 +/- 0.754,8.831 +/- 0.134,21.336 +/- 0.177,41.254 +/- 2.668
1.0,Error,-93.668 +/- 6.269,-91.287 +/- 7.163,-90.428 +/- 9.546,-92.965 +/- 15.514,-93.104 +/- 15.312,-93.858 +/- 18.475
