Alpha\(I;N),,(100;20),(100;50),(100;100),(200;20),(200;50),(200;100),(350;20),(350;50),(350;100),(500;20),(500;50),(500;100),(750;20),(750;50),(750;100)
0.0,Time,0.08 +/- 0.041,0.125 +/- 0.014,0.234 +/- 0.01,0.103 +/- 0.013,0.233 +/- 0.013,0.459 +/- 0.011,0.167 +/- 0.01,0.413 +/- 0.014,0.791 +/- 0.03,0.239 +/- 0.014,0.566 +/- 0.018,1.125 +/- 0.025,0.348 +/- 0.01,0.85 +/- 0.019,1.66 +/- 0.012
0.0,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
0.02,Time,0.048 +/- 0.005,0.134 +/- 0.028,0.227 +/- 0.013,0.098 +/- 0.01,0.227 +/- 0.008,0.453 +/- 0.01,0.167 +/- 0.007,0.395 +/- 0.021,0.784 +/- 0.017,0.238 +/- 0.01,0.575 +/- 0.012,1.122 +/- 0.017,0.358 +/- 0.015,0.844 +/- 0.02,1.669 +/- 0.024
0.02,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
0.05,Time,0.053 +/- 0.011,0.125 +/- 0.007,0.225 +/- 0.008,0.095 +/- 0.008,0.233 +/- 0.011,0.457 +/- 0.014,0.167 +/- 0.01,0.397 +/- 0.008,0.792 +/- 0.016,0.241 +/- 0.019,0.566 +/- 0.014,1.114 +/- 0.022,0.363 +/- 0.017,0.856 +/- 0.021,1.706 +/- 0.029
0.05,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
0.2,Time,0.048 +/- 0.005,0.127 +/- 0.009,0.233 +/- 0.013,0.102 +/- 0.008,0.236 +/- 0.011,0.463 +/- 0.017,0.18 +/- 0.016,0.411 +/- 0.014,0.8 +/- 0.021,0.253 +/- 0.012,0.586 +/- 0.027,1.133 +/- 0.026,0.356 +/- 0.018,0.889 +/- 0.022,1.716 +/- 0.03
0.2,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
0.5,Time,0.05 +/- 0.006,0.12 +/- 0.01,0.236 +/- 0.011,0.109 +/- 0.007,0.238 +/- 0.014,0.453 +/- 0.01,0.172 +/- 0.012,0.409 +/- 0.018,0.806 +/- 0.02,0.25 +/- 0.018,0.592 +/- 0.019,1.148 +/- 0.038,0.358 +/- 0.015,0.88 +/- 0.028,1.717 +/- 0.035
0.5,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
0.75,Time,0.052 +/- 0.007,0.127 +/- 0.011,0.241 +/- 0.02,0.097 +/- 0.007,0.241 +/- 0.013,0.463 +/- 0.016,0.174 +/- 0.013,0.417 +/- 0.04,0.794 +/- 0.022,0.239 +/- 0.012,0.575 +/- 0.012,1.117 +/- 0.015,0.356 +/- 0.015,0.857 +/- 0.027,1.708 +/- 0.042
0.75,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
1.0,Time,0.058 +/- 0.01,0.117 +/- 0.01,0.228 +/- 0.008,0.097 +/- 0.006,0.241 +/- 0.014,0.452 +/- 0.017,0.169 +/- 0.01,0.408 +/- 0.016,0.786 +/- 0.017,0.234 +/- 0.007,0.577 +/- 0.02,1.124 +/- 0.021,0.362 +/- 0.018,0.853 +/- 0.022,1.694 +/- 0.02
1.0,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
