Alpha\(I;N),,(100;20),(100;50),(100;100),(200;20),(200;50),(200;100),(350;20),(350;50),(350;100),(500;20),(500;50),(500;100),(750;20),(750;50),(750;100)
0.0,Time,0.069 +/- 0.071,0.069 +/- 0.008,0.111 +/- 0.011,0.056 +/- 0.008,0.105 +/- 0.007,0.18 +/- 0.008,0.089 +/- 0.01,0.172 +/- 0.012,0.312 +/- 0.023,0.113 +/- 0.009,0.228 +/- 0.012,0.409 +/- 0.009,0.145 +/- 0.007,0.322 +/- 0.014,0.594 +/- 0.01
0.0,Error,-0.092 +/- 0.065,-0.089 +/- 0.025,-0.063 +/- 0.034,-0.114 +/- 0.014,-0.06 +/- 0.019,-0.03 +/- 0.033,-0.047 +/- 0.034,-0.038 +/- 0.029,-0.046 +/- 0.063,-0.04 +/- 0.039,-0.013 +/- 0.042,-0.047 +/- 0.031,-0.041 +/- 0.011,-0.014 +/- 0.039,0.001 +/- 0.023
0.02,Time,0.041 +/- 0.008,0.064 +/- 0.005,0.103 +/- 0.007,0.058 +/- 0.007,0.103 +/- 0.008,0.18 +/- 0.008,0.083 +/- 0.007,0.161 +/- 0.007,0.302 +/- 0.014,0.111 +/- 0.013,0.219 +/- 0.007,0.413 +/- 0.01,0.15 +/- 0.01,0.333 +/- 0.037,0.597 +/- 0.019
0.02,Error,-0.073 +/- 0.051,-0.08 +/- 0.049,-0.058 +/- 0.021,-0.086 +/- 0.058,-0.063 +/- 0.024,-0.023 +/- 0.045,-0.042 +/- 0.028,-0.06 +/- 0.01,0.023 +/- 0.033,-0.038 +/- 0.013,-0.011 +/- 0.043,-0.026 +/- 0.004,0.005 +/- 0.05,-0.012 +/- 0.011,-0.027 +/- 0.019
0.05,Time,0.042 +/- 0.007,0.064 +/- 0.005,0.106 +/- 0.006,0.058 +/- 0.007,0.103 +/- 0.007,0.178 +/- 0.008,0.081 +/- 0.006,0.159 +/- 0.006,0.292 +/- 0.012,0.105 +/- 0.007,0.22 +/- 0.008,0.414 +/- 0.018,0.145 +/- 0.007,0.316 +/- 0.012,0.592 +/- 0.011
0.05,Error,-0.101 +/- 0.044,-0.054 +/- 0.031,-0.049 +/- 0.048,-0.076 +/- 0.038,-0.034 +/- 0.026,-0.041 +/- 0.017,0.023 +/- 0.044,-0.053 +/- 0.021,-0.053 +/- 0.025,-0.046 +/- 0.024,-0.021 +/- 0.018,-0.035 +/- 0.028,-0.042 +/- 0.017,-0.048 +/- 0.012,-0.037 +/- 0.017
0.2,Time,0.042 +/- 0.007,0.066 +/- 0.006,0.106 +/- 0.012,0.058 +/- 0.01,0.108 +/- 0.013,0.178 +/- 0.008,0.08 +/- 0.004,0.159 +/- 0.006,0.289 +/- 0.008,0.105 +/- 0.007,0.217 +/- 0.011,0.405 +/- 0.009,0.145 +/- 0.007,0.311 +/- 0.009,0.592 +/- 0.025
0.2,Error,-0.157 +/- 0.051,-0.119 +/- 0.03,-0.161 +/- 0.055,-0.116 +/- 0.024,-0.135 +/- 0.011,-0.091 +/- 0.017,-0.063 +/- 0.016,-0.082 +/- 0.023,-0.066 +/- 0.052,-0.033 +/- 0.057,-0.063 +/- 0.012,-0.045 +/- 0.028,-0.061 +/- 0.018,-0.042 +/- 0.015,-0.035 +/- 0.016
0.5,Time,0.039 +/- 0.008,0.063 +/- 0.001,0.1 +/- 0.008,0.055 +/- 0.008,0.098 +/- 0.007,0.172 +/- 0.0,0.078 +/- 0.0,0.158 +/- 0.008,0.311 +/- 0.025,0.113 +/- 0.016,0.23 +/- 0.02,0.429 +/- 0.023,0.156 +/- 0.01,0.331 +/- 0.014,0.653 +/- 0.037
0.5,Error,-0.39 +/- 0.057,-0.442 +/- 0.011,-0.421 +/- 0.048,-0.321 +/- 0.009,-0.347 +/- 0.042,-0.332 +/- 0.044,-0.228 +/- 0.042,-0.233 +/- 0.067,-0.232 +/- 0.021,-0.29 +/- 0.081,-0.227 +/- 0.015,-0.231 +/- 0.031,-0.178 +/- 0.149,-0.18 +/- 0.034,-0.186 +/- 0.049
