Alpha\(I;N),,(100;20),(100;50),(100;100),(200;20),(200;50),(200;100),(350;20),(350;50),(350;100),(500;20),(500;50),(500;100),(750;20),(750;50),(750;100)
0.0,Time,5.12 +/- 0.233,12.191 +/- 0.398,23.476 +/- 0.21,9.746 +/- 0.143,24.057 +/- 0.461,47.701 +/- 0.429,17.438 +/- 0.395,42.178 +/- 0.352,82.452 +/- 1.046,24.265 +/- 0.3,59.79 +/- 0.911,117.778 +/- 1.324,36.938 +/- 0.651,88.329 +/- 1.118,171.639 +/- 2.484
0.0,Error,0.006 +/- 0.006,-0.002 +/- 0.005,-0.003 +/- 0.005,-0.004 +/- 0.006,-0.003 +/- 0.002,0.002 +/- 0.004,-0.004 +/- 0.003,-0.002 +/- 0.003,-0.001 +/- 0.002,0.004 +/- 0.003,0.001 +/- 0.005,-0.001 +/- 0.002,-0.002 +/- 0.004,-0.002 +/- 0.004,0.002 +/- 0.002
0.02,Time,4.888 +/- 0.059,11.567 +/- 0.12,23.046 +/- 0.298,9.955 +/- 0.296,24.021 +/- 0.367,46.97 +/- 0.561,17.16 +/- 0.26,41.94 +/- 0.409,401.45 +/- 956.863,24.567 +/- 0.325,153.007 +/- 277.171,124.023 +/- 8.718,36.989 +/- 0.567,89.898 +/- 1.16,177.277 +/- 2.595
0.02,Error,0.004 +/- 0.004,0.001 +/- 0.003,0.0 +/- 0.004,-0.001 +/- 0.003,0.001 +/- 0.004,0.0 +/- 0.003,-0.002 +/- 0.002,0.001 +/- 0.002,0.001 +/- 0.003,0.002 +/- 0.003,0.0 +/- 0.002,-0.001 +/- 0.002,-0.002 +/- 0.002,-0.001 +/- 0.002,0.0 +/- 0.002
0.05,Time,4.952 +/- 0.105,12.091 +/- 0.221,23.883 +/- 0.261,9.892 +/- 0.219,23.876 +/- 0.383,58.017 +/- 15.788,19.086 +/- 0.23,47.337 +/- 0.481,93.155 +/- 2.438,26.679 +/- 1.378,61.811 +/- 0.689,130.28 +/- 0.945,41.132 +/- 0.685,99.764 +/- 1.492,188.313 +/- 7.097
0.05,Error,0.005 +/- 0.005,0.004 +/- 0.004,0.002 +/- 0.004,-0.002 +/- 0.001,-0.001 +/- 0.006,-0.001 +/- 0.002,-0.001 +/- 0.002,0.0 +/- 0.002,0.002 +/- 0.001,0.002 +/- 0.001,0.001 +/- 0.001,0.001 +/- 0.002,0.0 +/- 0.002,0.001 +/- 0.002,-0.001 +/- 0.002
0.2,Time,5.428 +/- 0.099,12.922 +/- 0.507,26.877 +/- 0.303,11.295 +/- 0.192,27.525 +/- 0.487,54.115 +/- 0.957,20.134 +/- 0.686,49.226 +/- 1.115,93.974 +/- 4.416,26.796 +/- 1.599,63.751 +/- 2.625,129.619 +/- 2.922,40.53 +/- 0.661,97.118 +/- 1.158,191.691 +/- 4.755
0.2,Error,0.001 +/- 0.003,0.005 +/- 0.005,0.0 +/- 0.004,-0.001 +/- 0.002,-0.001 +/- 0.004,-0.002 +/- 0.002,-0.001 +/- 0.002,-0.002 +/- 0.003,0.001 +/- 0.002,0.001 +/- 0.002,0.0 +/- 0.002,-0.001 +/- 0.002,0.0 +/- 0.001,0.0 +/- 0.002,-0.001 +/- 0.001
0.5,Time,5.349 +/- 0.07,13.09 +/- 0.616,23.573 +/- 0.336,9.806 +/- 0.189,23.321 +/- 0.294,46.293 +/- 0.595,16.803 +/- 0.214,40.892 +/- 0.515,81.763 +/- 1.111,24.436 +/- 0.191,58.374 +/- 0.624,115.934 +/- 1.255,36.18 +/- 0.415,87.734 +/- 1.264,175.049 +/- 2.354
0.5,Error,0.002 +/- 0.005,0.002 +/- 0.007,0.003 +/- 0.003,-0.003 +/- 0.004,-0.002 +/- 0.004,-0.001 +/- 0.001,-0.002 +/- 0.001,0.0 +/- 0.003,0.0 +/- 0.002,0.0 +/- 0.002,-0.001 +/- 0.001,-0.001 +/- 0.002,0.001 +/- 0.001,-0.001 +/- 0.002,-0.001 +/- 0.002
0.75,Time,4.866 +/- 0.1,11.876 +/- 0.157,23.038 +/- 0.397,9.61 +/- 0.109,23.271 +/- 0.336,46.447 +/- 0.356,17.002 +/- 0.202,41.096 +/- 0.53,80.616 +/- 0.931,24.096 +/- 0.217,58.574 +/- 0.64,115.561 +/- 1.332,1701.248 +/- 4988.725,93.213 +/- 0.982,194.416 +/- 5.996
0.75,Error,-0.001 +/- 0.006,0.0 +/- 0.007,-0.005 +/- 0.003,-0.003 +/- 0.003,0.001 +/- 0.004,-0.003 +/- 0.005,-0.003 +/- 0.002,0.002 +/- 0.004,0.001 +/- 0.002,0.001 +/- 0.002,0.0 +/- 0.002,-0.002 +/- 0.002,0.0 +/- 0.002,-0.001 +/- 0.002,-0.002 +/- 0.001
1.0,Time,5.896 +/- 0.117,13.682 +/- 0.473,26.795 +/- 0.507,11.254 +/- 0.31,27.813 +/- 1.061,54.028 +/- 2.221,19.26 +/- 0.716,47.366 +/- 1.508,91.637 +/- 1.113,27.185 +/- 0.299,66.924 +/- 0.746,122.582 +/- 3.596,37.347 +/- 0.364,100.235 +/- 21.903,181.889 +/- 10.114
1.0,Error,-0.109 +/- 0.1,-0.181 +/- 0.084,-0.174 +/- 0.096,-0.003 +/- 0.002,-0.004 +/- 0.009,-0.004 +/- 0.01,-0.002 +/- 0.002,0.0 +/- 0.004,0.0 +/- 0.004,0.001 +/- 0.002,-0.001 +/- 0.003,0.001 +/- 0.004,0.0 +/- 0.002,0.001 +/- 0.001,0.0 +/- 0.002
