Alpha\(I;N),,(100;20),(100;50),(100;100),(100;200),(200;20),(200;50),(200;100),(200;200),(500;20),(500;50),(500;100),(500;200)
0.0,Time,8.522 +/- 0.78,18.047 +/- 3.962,28.882 +/- 4.167,52.187 +/- 1.153,7.243 +/- 0.395,15.154 +/- 0.713,28.202 +/- 0.465,58.116 +/- 0.625,8.469 +/- 0.738,17.135 +/- 0.607,31.855 +/- 0.674,76.053 +/- 32.604
0.0,Error,-0.019 +/- 0.009,-0.023 +/- 0.053,0.056 +/- 0.035,0.015 +/- 0.015,0.009 +/- 0.033,-0.007 +/- 0.025,0.008 +/- 0.022,0.004 +/- 0.01,-0.005 +/- 0.015,0.002 +/- 0.007,-0.007 +/- 0.027,0.013 +/- 0.005
0.02,Time,7.776 +/- 0.703,15.694 +/- 0.544,29.494 +/- 0.818,51.893 +/- 1.338,7.119 +/- 0.273,14.913 +/- 0.594,38.878 +/- 16.637,52.133 +/- 0.574,7.461 +/- 0.47,15.335 +/- 0.455,28.27 +/- 0.514,52.932 +/- 1.5
0.02,Error,0.03 +/- 0.063,-0.015 +/- 0.026,-0.014 +/- 0.053,-0.015 +/- 0.006,0.015 +/- 0.011,-0.018 +/- 0.034,-0.013 +/- 0.011,-0.018 +/- 0.004,0.002 +/- 0.028,0.008 +/- 0.01,-0.015 +/- 0.013,-0.008 +/- 0.022
0.05,Time,6.555 +/- 0.414,13.507 +/- 0.314,25.11 +/- 0.249,48.002 +/- 1.328,6.887 +/- 0.609,13.953 +/- 0.394,25.551 +/- 0.524,49.137 +/- 0.508,6.821 +/- 0.373,14.439 +/- 0.498,26.274 +/- 0.237,51.376 +/- 0.415
0.05,Error,0.004 +/- 0.039,-0.023 +/- 0.007,-0.021 +/- 0.01,-0.02 +/- 0.003,0.024 +/- 0.046,0.008 +/- 0.038,-0.022 +/- 0.004,-0.024 +/- 0.001,-0.019 +/- 0.021,-0.006 +/- 0.02,-0.021 +/- 0.002,-0.02 +/- 0.003
0.2,Time,6.67 +/- 0.411,13.656 +/- 0.306,25.373 +/- 0.457,49.676 +/- 1.238,6.783 +/- 0.218,14.171 +/- 0.444,26.26 +/- 0.705,56.758 +/- 8.465,8.441 +/- 1.466,19.004 +/- 5.471,26.934 +/- 0.615,53.461 +/- 5.48
0.2,Error,-0.025 +/- 0.006,-0.022 +/- 0.009,-0.03 +/- 0.006,-0.031 +/- 0.003,-0.021 +/- 0.001,-0.023 +/- 0.004,-0.026 +/- 0.002,-0.024 +/- 0.002,-0.01 +/- 0.012,-0.023 +/- 0.003,-0.023 +/- 0.002,-0.024 +/- 0.001
0.5,Time,6.586 +/- 0.432,14.492 +/- 0.582,30.061 +/- 1.427,60.425 +/- 4.323,8.045 +/- 0.471,16.527 +/- 0.594,29.985 +/- 0.491,57.439 +/- 0.986,8.378 +/- 0.372,16.912 +/- 0.532,31.29 +/- 0.525,59.994 +/- 0.856
0.5,Error,-0.033 +/- 0.007,-0.044 +/- 0.005,-0.046 +/- 0.003,-0.051 +/- 0.004,-0.023 +/- 0.003,-0.03 +/- 0.005,-0.04 +/- 0.003,-0.042 +/- 0.003,-0.022 +/- 0.004,-0.024 +/- 0.005,-0.024 +/- 0.001,-0.029 +/- 0.003
1.0,Time,7.937 +/- 0.51,16.188 +/- 0.532,30.164 +/- 0.759,51.618 +/- 1.696,7.019 +/- 0.229,14.535 +/- 0.538,27.38 +/- 0.65,52.261 +/- 0.68,7.431 +/- 0.414,15.08 +/- 0.241,28.101 +/- 0.637,54.316 +/- 0.466
1.0,Error,-0.048 +/- 0.008,-0.058 +/- 0.012,-0.074 +/- 0.024,-0.062 +/- 0.016,-0.046 +/- 0.005,-0.045 +/- 0.005,-0.045 +/- 0.006,-0.054 +/- 0.001,-0.033 +/- 0.006,-0.037 +/- 0.004,-0.044 +/- 0.003,-0.044 +/- 0.002
