Alpha\(I;N),,(350;20),(350;50),(350;100),(750;20),(750;50),(750;100)
0.0,Time,31.487 +/- 3.373,70.506 +/- 6.674,142.494 +/- 16.325,65.144 +/- 5.318,136.21 +/- 1.631,294.664 +/- 21.422
0.0,Error,-0.053 +/- 0.107,-0.035 +/- 0.052,0.065 +/- 0.04,-0.022 +/- 0.029,0.023 +/- 0.032,0.059 +/- 0.016
0.02,Time,26.773 +/- 2.745,69.181 +/- 4.455,140.827 +/- 1.924,61.329 +/- 2.215,151.62 +/- 2.428,289.969 +/- 19.151
0.02,Error,0.003 +/- 0.066,-0.062 +/- 0.034,-0.093 +/- 0.066,-0.015 +/- 0.022,-0.005 +/- 0.039,-0.01 +/- 0.025
0.05,Time,25.647 +/- 2.881,67.22 +/- 2.858,125.335 +/- 3.196,54.899 +/- 2.49,132.093 +/- 5.151,322.262 +/- 29.064
0.05,Error,-0.035 +/- 0.116,-0.187 +/- 0.1,-0.184 +/- 0.128,-0.043 +/- 0.03,-0.022 +/- 0.11,0.184 +/- 0.272
0.2,Time,30.934 +/- 3.061,80.417 +/- 6.594,163.116 +/- 5.12,70.227 +/- 6.928,195.597 +/- 42.256,369.798 +/- 24.652
0.2,Error,-0.524 +/- 0.06,-0.932 +/- 0.793,-2.218 +/- 0.264,-0.43 +/- 0.186,-0.629 +/- 0.163,-1.272 +/- 0.073
0.5,Time,33.537 +/- 2.816,73.518 +/- 8.974,149.263 +/- 14.8,64.437 +/- 8.399,166.045 +/- 14.496,303.776 +/- 19.207
0.5,Error,-4.584 +/- 1.427,-7.811 +/- 0.172,-8.561 +/- 0.2,-2.29 +/- 1.293,-3.879 +/- 0.287,-4.908 +/- 0.251
1.0,Time,24.215 +/- 2.315,64.021 +/- 6.228,128.845 +/- 1.283,56.468 +/- 1.356,145.437 +/- 8.418,300.282 +/- 31.973
1.0,Error,-8.787 +/- 0.092,-8.906 +/- 0.069,-8.938 +/- 0.03,-7.492 +/- 0.156,-8.565 +/- 0.052,-8.78 +/- 0.055
