Alpha\(I;N),,(100;20),(100;50),(100;100),(100;200),(200;20),(200;50),(200;100),(200;200),(500;20),(500;50),(500;100),(500;200)
0,Time,2.186 +/- 0.145,5.048 +/- 0.297,11.896 +/- 0.213,23.11 +/- 0.806,4.013 +/- 0.116,9.565 +/- 0.131,18.567 +/- 0.234,36.839 +/- 0.32,9.555 +/- 0.14,23.422 +/- 0.338,48.476 +/- 1.322,99.469 +/- 7.761
0,Error,-9.223372036854776E15 +/- 0.0,0.005 +/- 0.059,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-0.019 +/- 0.008,-9.223372036854776E15 +/- 0.0,-0.008 +/- 0.019,-0.001 +/- 0.008,0.003 +/- 0.015,-0.015 +/- 0.008
0.02,Time,2.061 +/- 0.033,4.861 +/- 0.063,10.513 +/- 0.772,22.592 +/- 0.319,4.631 +/- 0.154,10.985 +/- 0.171,21.778 +/- 0.219,43.108 +/- 0.574,11.082 +/- 0.19,26.796 +/- 0.421,53.799 +/- 1.552,95.865 +/- 5.381
0.02,Error,0.001 +/- 0.021,-0.008 +/- 0.009,-0.005 +/- 0.01,-0.006 +/- 0.006,-0.007 +/- 0.01,-0.001 +/- 0.003,0.002 +/- 0.002,-0.001 +/- 0.0,-0.007 +/- 0.006,-0.004 +/- 0.006,0.0 +/- 0.004,0.0 +/- 0.002
0.05,Time,2.274 +/- 0.079,5.203 +/- 0.142,10.134 +/- 0.313,19.249 +/- 0.384,4.027 +/- 0.094,9.674 +/- 0.112,19.051 +/- 0.253,37.731 +/- 0.319,9.635 +/- 0.078,23.163 +/- 0.256,46.005 +/- 0.275,85.284 +/- 5.332
0.05,Error,-0.01 +/- 0.011,-0.007 +/- 0.004,-0.002 +/- 0.006,-0.003 +/- 0.002,-0.012 +/- 0.014,-0.003 +/- 0.007,-0.001 +/- 0.003,-0.002 +/- 0.003,-0.002 +/- 0.005,-0.002 +/- 0.001,-0.002 +/- 0.003,-0.002 +/- 0.002
0.2,Time,1.875 +/- 0.034,4.438 +/- 0.062,8.785 +/- 0.154,17.247 +/- 0.11,3.561 +/- 0.051,8.399 +/- 0.051,16.445 +/- 0.048,33.241 +/- 0.266,8.636 +/- 0.185,20.655 +/- 0.271,40.941 +/- 0.343,84.026 +/- 4.27
0.2,Error,-0.022 +/- 0.015,-0.027 +/- 0.009,-0.034 +/- 0.01,-0.034 +/- 0.009,-0.003 +/- 0.005,-0.012 +/- 0.003,-0.009 +/- 0.003,-0.008 +/- 0.004,-0.003 +/- 0.001,-0.002 +/- 0.006,-0.008 +/- 0.003,-0.005 +/- 0.004
0.5,Time,1.889 +/- 0.021,4.373 +/- 0.035,8.601 +/- 0.108,17.002 +/- 0.101,3.533 +/- 0.042,8.34 +/- 0.065,16.564 +/- 0.159,32.896 +/- 0.181,8.508 +/- 0.073,20.416 +/- 0.12,40.256 +/- 0.224,97.028 +/- 18.861
0.5,Error,-0.114 +/- 0.023,-0.109 +/- 0.026,-0.136 +/- 0.03,-0.149 +/- 0.024,-0.083 +/- 0.005,-0.086 +/- 0.008,-0.097 +/- 0.017,-0.099 +/- 0.013,-0.034 +/- 0.007,-0.037 +/- 0.008,-0.036 +/- 0.01,-0.037 +/- 0.009
1,Time,2.131 +/- 0.089,5.124 +/- 0.122,10.29 +/- 0.283,20.247 +/- 0.445,4.262 +/- 0.151,10.263 +/- 0.32,20.204 +/- 0.506,43.343 +/- 2.713,11.974 +/- 0.287,28.709 +/- 0.614,57.457 +/- 1.102,126.315 +/- 34.021
1,Error,-0.429 +/- 0.073,-0.416 +/- 0.064,-0.418 +/- 0.07,-0.388 +/- 0.07,-0.366 +/- 0.079,-0.397 +/- 0.083,-0.396 +/- 0.1,-0.389 +/- 0.094,-0.276 +/- 0.036,-0.264 +/- 0.022,-0.256 +/- 0.004,-0.264 +/- 0.023
