Alpha\(I;N),,(350;20),(350;50),(350;100),(750;20),(750;50),(750;100)
0.0,Time,3.825 +/- 0.206,9.349 +/- 0.134,18.039 +/- 0.326,8.051 +/- 0.293,38.201 +/- 17.29,63.927 +/- 29.016
0.0,Error,0.013 +/- 0.114,0.003 +/- 0.049,0.038 +/- 0.037,-0.026 +/- 0.029,0.015 +/- 0.038,-0.005 +/- 0.044
0.02,Time,7.537 +/- 6.488,9.692 +/- 1.781,17.136 +/- 0.484,7.781 +/- 0.226,19.097 +/- 0.404,54.118 +/- 30.223
0.02,Error,-0.016 +/- 0.022,0.0 +/- 0.013,0.008 +/- 0.009,0.004 +/- 0.014,-0.006 +/- 0.015,0.002 +/- 0.004
0.05,Time,3.652 +/- 0.118,8.742 +/- 0.191,17.732 +/- 0.218,7.912 +/- 0.264,19.101 +/- 0.332,36.507 +/- 2.37
0.05,Error,0.0 +/- 0.024,0.004 +/- 0.008,0.003 +/- 0.001,0.007 +/- 0.01,-0.001 +/- 0.005,0.002 +/- 0.0
0.2,Time,3.21 +/- 0.125,7.695 +/- 0.148,15.406 +/- 0.512,6.949 +/- 0.208,16.879 +/- 0.494,41.805 +/- 3.685
0.2,Error,0.003 +/- 0.002,0.0 +/- 0.0,0.0 +/- 0.0,-0.001 +/- 0.001,0.0 +/- 0.0,0.0 +/- 0.0
0.5,Time,3.948 +/- 0.332,9.388 +/- 0.439,19.058 +/- 0.867,8.337 +/- 0.235,19.998 +/- 0.605,40.127 +/- 1.607
0.5,Error,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
1.0,Time,4.014 +/- 0.38,9.45 +/- 0.286,18.981 +/- 0.73,8.473 +/- 0.366,20.339 +/- 0.735,39.413 +/- 2.098
1.0,Error,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
