Alpha\(I;N),,(100;20),(100;50),(100;100),(200;20),(200;50),(200;100),(350;20),(350;50),(350;100),(500;20),(500;50),(500;100),(750;20),(750;50),(750;100)
0.0,Time,0.264 +/- 0.078,0.464 +/- 0.03,0.892 +/- 0.022,0.375 +/- 0.012,0.914 +/- 0.032,1.761 +/- 0.044,0.642 +/- 0.015,1.566 +/- 0.022,3.094 +/- 0.058,0.933 +/- 0.025,2.235 +/- 0.037,4.482 +/- 0.073,1.418 +/- 0.026,3.364 +/- 0.072,6.448 +/- 0.187
0.0,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
0.02,Time,0.194 +/- 0.014,0.428 +/- 0.008,0.853 +/- 0.025,0.355 +/- 0.007,0.852 +/- 0.021,1.688 +/- 0.031,0.625 +/- 0.019,1.51 +/- 0.057,2.944 +/- 0.044,0.914 +/- 0.052,2.228 +/- 0.049,4.236 +/- 0.184,1.305 +/- 0.01,3.139 +/- 0.042,6.225 +/- 0.055
0.02,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
0.05,Time,0.194 +/- 0.01,0.438 +/- 0.01,0.853 +/- 0.022,0.356 +/- 0.014,0.845 +/- 0.008,1.67 +/- 0.013,0.62 +/- 0.02,1.491 +/- 0.01,2.946 +/- 0.026,0.875 +/- 0.017,2.128 +/- 0.021,4.177 +/- 0.017,1.306 +/- 0.016,3.144 +/- 0.037,6.249 +/- 0.04
0.05,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
0.2,Time,0.188 +/- 0.007,0.433 +/- 0.012,0.842 +/- 0.009,0.358 +/- 0.011,0.853 +/- 0.01,1.678 +/- 0.017,0.619 +/- 0.012,1.488 +/- 0.023,2.927 +/- 0.045,0.87 +/- 0.012,2.097 +/- 0.02,4.179 +/- 0.03,1.299 +/- 0.011,3.191 +/- 0.119,6.22 +/- 0.064
0.2,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
0.5,Time,0.189 +/- 0.021,0.43 +/- 0.016,0.841 +/- 0.009,0.358 +/- 0.011,0.847 +/- 0.012,1.663 +/- 0.013,0.614 +/- 0.01,1.478 +/- 0.021,2.952 +/- 0.108,0.872 +/- 0.015,2.114 +/- 0.017,4.135 +/- 0.031,1.298 +/- 0.015,3.154 +/- 0.033,6.248 +/- 0.03
0.5,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
0.75,Time,0.186 +/- 0.008,0.431 +/- 0.012,0.849 +/- 0.017,0.355 +/- 0.01,0.845 +/- 0.022,1.655 +/- 0.018,0.611 +/- 0.011,1.47 +/- 0.011,2.916 +/- 0.028,0.867 +/- 0.011,2.108 +/- 0.023,4.155 +/- 0.033,1.305 +/- 0.016,3.16 +/- 0.029,6.333 +/- 0.239
0.75,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
1.0,Time,0.178 +/- 0.008,0.43 +/- 0.008,0.845 +/- 0.015,0.361 +/- 0.013,0.989 +/- 0.117,1.999 +/- 0.065,0.763 +/- 0.076,1.719 +/- 0.075,3.399 +/- 0.12,1.041 +/- 0.065,2.5 +/- 0.145,4.804 +/- 0.169,1.519 +/- 0.075,3.696 +/- 0.228,7.091 +/- 0.132
1.0,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
