Alpha\(I;N),,(100;20),(100;50),(100;100),(100;200),(200;20),(200;50),(200;100),(200;200),(500;20),(500;50),(500;100),(500;200)
0,Time,0.136 +/- 0.091,0.161 +/- 0.017,0.256 +/- 0.024,0.42 +/- 0.033,0.149 +/- 0.036,0.228 +/- 0.017,0.404 +/- 0.027,0.763 +/- 0.07,0.258 +/- 0.027,0.513 +/- 0.05,0.913 +/- 0.042,1.781 +/- 0.075
0,Error,-0.037 +/- 0.029,-0.03 +/- 0.053,-0.077 +/- 0.013,-0.048 +/- 0.052,-0.055 +/- 0.032,-0.063 +/- 0.033,-0.068 +/- 0.041,-0.032 +/- 0.043,-0.052 +/- 0.037,-0.015 +/- 0.057,-0.038 +/- 0.019,-0.054 +/- 0.021
0.02,Time,0.097 +/- 0.012,0.163 +/- 0.036,0.252 +/- 0.03,0.416 +/- 0.031,0.147 +/- 0.023,0.247 +/- 0.012,0.423 +/- 0.027,0.759 +/- 0.043,0.245 +/- 0.035,0.503 +/- 0.038,0.905 +/- 0.068,1.716 +/- 0.078
0.02,Error,-0.024 +/- 0.019,0.009 +/- 0.017,0.001 +/- 0.004,0.001 +/- 0.004,0.009 +/- 0.021,0.002 +/- 0.003,-0.002 +/- 0.003,-0.002 +/- 0.001,-0.005 +/- 0.007,-0.005 +/- 0.002,-0.002 +/- 0.002,0.0 +/- 0.001
0.05,Time,0.097 +/- 0.006,0.159 +/- 0.021,0.245 +/- 0.014,0.413 +/- 0.034,0.139 +/- 0.018,0.272 +/- 0.06,0.408 +/- 0.027,0.73 +/- 0.037,0.244 +/- 0.017,0.499 +/- 0.03,0.874 +/- 0.034,1.64 +/- 0.068
0.05,Error,-0.005 +/- 0.01,0.002 +/- 0.002,0.0 +/- 0.002,-0.001 +/- 0.003,0.0 +/- 0.004,0.001 +/- 0.002,-0.001 +/- 0.002,-0.002 +/- 0.001,0.0 +/- 0.003,0.001 +/- 0.001,-0.001 +/- 0.0,0.001 +/- 0.001
0.2,Time,0.094 +/- 0.01,0.153 +/- 0.012,0.233 +/- 0.015,0.402 +/- 0.026,0.133 +/- 0.016,0.231 +/- 0.025,0.411 +/- 0.027,0.716 +/- 0.043,0.234 +/- 0.023,0.486 +/- 0.027,0.855 +/- 0.031,1.7 +/- 0.062
0.2,Error,0.005 +/- 0.003,0.001 +/- 0.003,-0.001 +/- 0.001,0.0 +/- 0.004,0.001 +/- 0.001,0.0 +/- 0.001,-0.001 +/- 0.002,-0.002 +/- 0.001,0.001 +/- 0.001,0.0 +/- 0.002,-0.001 +/- 0.001,0.001 +/- 0.001
0.5,Time,0.095 +/- 0.018,0.159 +/- 0.033,0.253 +/- 0.028,0.431 +/- 0.045,0.131 +/- 0.01,0.247 +/- 0.032,0.413 +/- 0.024,0.756 +/- 0.031,0.236 +/- 0.023,0.494 +/- 0.022,0.938 +/- 0.062,1.669 +/- 0.053
0.5,Error,-0.003 +/- 0.007,-0.004 +/- 0.007,-0.007 +/- 0.004,-0.008 +/- 0.004,0.001 +/- 0.002,0.0 +/- 0.002,-0.001 +/- 0.003,-0.001 +/- 0.002,0.0 +/- 0.001,0.0 +/- 0.002,-0.001 +/- 0.001,0.001 +/- 0.0
1,Time,0.095 +/- 0.013,0.148 +/- 0.019,0.22 +/- 0.016,0.388 +/- 0.026,0.135 +/- 0.016,0.223 +/- 0.012,0.389 +/- 0.03,0.73 +/- 0.047,0.236 +/- 0.031,0.506 +/- 0.03,0.916 +/- 0.091,1.688 +/- 0.078
1,Error,-0.057 +/- 0.011,-0.073 +/- 0.027,-0.07 +/- 0.025,-0.076 +/- 0.025,-0.023 +/- 0.004,-0.025 +/- 0.008,-0.024 +/- 0.007,-0.028 +/- 0.006,-0.01 +/- 0.011,-0.009 +/- 0.01,-0.008 +/- 0.009,-0.01 +/- 0.009
