Alpha\(I;N),,(350;20),(350;50),(350;100),(750;20),(750;50),(750;100)
0.0,Time,0.256 +/- 0.084,0.383 +/- 0.03,0.678 +/- 0.04,0.336 +/- 0.017,0.703 +/- 0.032,1.285 +/- 0.069
0.0,Error,0.009 +/- 0.059,-0.054 +/- 0.028,-0.036 +/- 0.018,0.001 +/- 0.016,-0.007 +/- 0.036,-0.02 +/- 0.034
0.02,Time,0.2 +/- 0.029,0.373 +/- 0.041,0.662 +/- 0.044,0.327 +/- 0.035,0.705 +/- 0.067,1.3 +/- 0.053
0.02,Error,-0.015 +/- 0.015,-0.001 +/- 0.005,0.0 +/- 0.003,-0.004 +/- 0.013,0.0 +/- 0.0,0.0 +/- 0.002
0.05,Time,0.188 +/- 0.017,0.364 +/- 0.036,0.639 +/- 0.047,0.346 +/- 0.048,0.7 +/- 0.049,1.232 +/- 0.059
0.05,Error,0.001 +/- 0.003,-0.001 +/- 0.002,0.001 +/- 0.001,0.002 +/- 0.003,-0.001 +/- 0.001,-0.001 +/- 0.001
0.2,Time,0.191 +/- 0.029,0.355 +/- 0.028,0.628 +/- 0.041,0.325 +/- 0.043,0.634 +/- 0.032,1.252 +/- 0.066
0.2,Error,0.0 +/- 0.002,-0.001 +/- 0.002,0.0 +/- 0.001,0.0 +/- 0.001,0.0 +/- 0.001,-0.001 +/- 0.001
0.5,Time,0.186 +/- 0.026,0.347 +/- 0.028,0.586 +/- 0.031,0.316 +/- 0.023,0.655 +/- 0.032,1.235 +/- 0.058
0.5,Error,-0.001 +/- 0.002,-0.001 +/- 0.001,0.001 +/- 0.001,0.0 +/- 0.0,-0.001 +/- 0.001,-0.001 +/- 0.001
1.0,Time,0.178 +/- 0.023,0.352 +/- 0.035,0.618 +/- 0.042,0.327 +/- 0.03,0.676 +/- 0.032,1.222 +/- 0.047
1.0,Error,-0.054 +/- 0.046,-0.034 +/- 0.025,-0.043 +/- 0.029,-0.005 +/- 0.008,-0.002 +/- 0.003,-0.011 +/- 0.009
