Alpha\(I;N),,(100;20),(100;50),(100;100),(200;20),(200;50),(200;100),(350;20),(350;50),(350;100),(500;20),(500;50),(500;100),(750;20),(750;50),(750;100)
0.0,Time,0.12 +/- 0.078,0.136 +/- 0.018,0.183 +/- 0.026,0.117 +/- 0.027,0.183 +/- 0.03,0.333 +/- 0.054,0.177 +/- 0.044,0.283 +/- 0.022,0.52 +/- 0.068,0.214 +/- 0.022,0.477 +/- 0.069,0.713 +/- 0.082,0.267 +/- 0.026,0.53 +/- 0.035,0.925 +/- 0.04
0.0,Error,0.018 +/- 0.16,-0.106 +/- 0.075,-0.117 +/- 0.047,-0.134 +/- 0.05,-0.09 +/- 0.032,-0.166 +/- 0.027,-0.089 +/- 0.04,-0.045 +/- 0.06,-0.094 +/- 0.061,-0.102 +/- 0.032,-0.11 +/- 0.031,-0.065 +/- 0.061,-0.027 +/- 0.038,-0.07 +/- 0.059,-0.09 +/- 0.044
0.02,Time,0.072 +/- 0.008,0.125 +/- 0.028,0.166 +/- 0.014,0.106 +/- 0.024,0.186 +/- 0.029,0.298 +/- 0.046,0.141 +/- 0.019,0.275 +/- 0.035,0.466 +/- 0.043,0.188 +/- 0.03,0.369 +/- 0.044,0.663 +/- 0.051,0.281 +/- 0.057,0.474 +/- 0.047,0.96 +/- 0.097
0.02,Error,0.003 +/- 0.079,0.011 +/- 0.021,-0.003 +/- 0.003,-0.006 +/- 0.036,0.0 +/- 0.019,0.001 +/- 0.001,0.002 +/- 0.014,-0.003 +/- 0.005,-0.002 +/- 0.002,-0.002 +/- 0.024,-0.005 +/- 0.009,-0.001 +/- 0.002,0.004 +/- 0.019,0.002 +/- 0.006,-0.002 +/- 0.003
0.05,Time,0.077 +/- 0.015,0.116 +/- 0.016,0.17 +/- 0.018,0.116 +/- 0.017,0.178 +/- 0.021,0.281 +/- 0.051,0.152 +/- 0.03,0.277 +/- 0.026,0.514 +/- 0.066,0.203 +/- 0.03,0.38 +/- 0.032,0.611 +/- 0.037,0.252 +/- 0.031,0.463 +/- 0.045,0.877 +/- 0.054
0.05,Error,-0.001 +/- 0.017,-0.001 +/- 0.003,-0.001 +/- 0.001,-0.001 +/- 0.008,-0.001 +/- 0.001,-0.001 +/- 0.002,-0.004 +/- 0.008,0.001 +/- 0.0,0.001 +/- 0.002,-0.002 +/- 0.004,0.0 +/- 0.001,0.0 +/- 0.002,-0.002 +/- 0.003,-0.001 +/- 0.002,0.0 +/- 0.001
0.2,Time,0.078 +/- 0.027,0.109 +/- 0.019,0.156 +/- 0.028,0.098 +/- 0.014,0.161 +/- 0.03,0.249 +/- 0.026,0.134 +/- 0.032,0.239 +/- 0.024,0.414 +/- 0.045,0.178 +/- 0.034,0.312 +/- 0.038,0.539 +/- 0.034,0.241 +/- 0.023,0.463 +/- 0.052,0.803 +/- 0.064
0.2,Error,0.006 +/- 0.003,-0.001 +/- 0.003,0.0 +/- 0.001,0.001 +/- 0.002,0.0 +/- 0.001,-0.001 +/- 0.002,-0.001 +/- 0.001,0.0 +/- 0.001,0.001 +/- 0.001,0.001 +/- 0.001,0.0 +/- 0.002,-0.001 +/- 0.0,0.0 +/- 0.001,-0.001 +/- 0.001,-0.001 +/- 0.001
0.5,Time,0.07 +/- 0.01,0.108 +/- 0.025,0.156 +/- 0.031,0.098 +/- 0.016,0.191 +/- 0.054,0.252 +/- 0.043,0.125 +/- 0.023,0.227 +/- 0.027,0.39 +/- 0.037,0.182 +/- 0.052,0.292 +/- 0.033,0.545 +/- 0.066,0.226 +/- 0.029,0.416 +/- 0.031,0.747 +/- 0.04
0.5,Error,0.002 +/- 0.003,0.0 +/- 0.005,0.001 +/- 0.002,0.001 +/- 0.002,0.0 +/- 0.002,-0.001 +/- 0.002,0.0 +/- 0.002,-0.002 +/- 0.001,0.001 +/- 0.001,0.001 +/- 0.001,0.0 +/- 0.002,-0.002 +/- 0.001,0.0 +/- 0.001,-0.001 +/- 0.001,-0.001 +/- 0.001
0.75,Time,0.079 +/- 0.015,0.105 +/- 0.024,0.152 +/- 0.023,0.092 +/- 0.011,0.158 +/- 0.026,0.269 +/- 0.05,0.122 +/- 0.02,0.238 +/- 0.036,0.416 +/- 0.036,0.155 +/- 0.029,0.298 +/- 0.025,0.524 +/- 0.032,0.205 +/- 0.032,0.408 +/- 0.032,0.759 +/- 0.041
0.75,Error,-0.013 +/- 0.006,-0.015 +/- 0.005,-0.017 +/- 0.006,-0.006 +/- 0.005,-0.005 +/- 0.005,-0.006 +/- 0.003,-0.001 +/- 0.002,-0.001 +/- 0.001,0.0 +/- 0.001,0.0 +/- 0.001,-0.002 +/- 0.001,-0.002 +/- 0.001,0.0 +/- 0.001,-0.002 +/- 0.001,-0.002 +/- 0.001
1.0,Time,0.073 +/- 0.017,0.102 +/- 0.035,0.139 +/- 0.028,0.106 +/- 0.031,0.144 +/- 0.02,0.255 +/- 0.05,0.132 +/- 0.034,0.23 +/- 0.037,0.438 +/- 0.055,0.166 +/- 0.03,0.316 +/- 0.031,0.578 +/- 0.054,0.214 +/- 0.034,0.444 +/- 0.052,0.816 +/- 0.078
1.0,Error,-0.391 +/- 0.15,-0.352 +/- 0.139,-0.36 +/- 0.172,-0.18 +/- 0.164,-0.124 +/- 0.099,-0.113 +/- 0.103,-0.066 +/- 0.08,-0.051 +/- 0.069,-0.008 +/- 0.008,-0.002 +/- 0.006,-0.001 +/- 0.002,-0.012 +/- 0.009,-0.006 +/- 0.008,-0.002 +/- 0.001,-0.005 +/- 0.005
