Alpha\(I;N),,(350;20),(350;50),(350;100),(750;20),(750;50),(750;100)
0.0,Time,8.586 +/- 0.591,20.93 +/- 2.227,44.897 +/- 4.514,20.249 +/- 2.132,50.139 +/- 4.022,101.255 +/- 7.12
0.0,Error,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
0.02,Time,9.55 +/- 0.596,23.906 +/- 1.495,46.368 +/- 3.923,20.653 +/- 1.586,53.09 +/- 3.239,105.985 +/- 4.946
0.02,Error,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
0.05,Time,9.862 +/- 0.487,24.335 +/- 2.543,47.472 +/- 3.751,21.409 +/- 1.474,45.211 +/- 7.42,122.718 +/- 34.911
0.05,Error,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
0.2,Time,11.104 +/- 0.773,27.001 +/- 1.072,50.9 +/- 3.732,23.784 +/- 1.525,55.875 +/- 3.683,109.496 +/- 5.558
0.2,Error,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
0.5,Time,10.414 +/- 0.97,26.355 +/- 1.31,52.06 +/- 4.125,23.105 +/- 1.674,54.084 +/- 3.42,99.441 +/- 8.292
0.5,Error,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
1.0,Time,9.451 +/- 0.878,22.44 +/- 2.12,49.007 +/- 2.41,18.631 +/- 1.788,40.882 +/- 3.156,99.394 +/- 11.634
1.0,Error,0.001 +/- 0.001,0.0 +/- 0.001,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.001,0.0 +/- 0.0
