Alpha\(I;N),,(100;20),(100;50),(100;100),(200;20),(200;50),(200;100),(350;20),(350;50),(350;100),(500;20),(500;50),(500;100),(750;20),(750;50),(750;100)
0.0,Time,0.406 +/- 0.087,0.838 +/- 0.03,1.636 +/- 0.067,0.699 +/- 0.017,1.536 +/- 0.05,2.983 +/- 0.025,1.092 +/- 0.015,2.633 +/- 0.027,5.204 +/- 0.055,1.578 +/- 0.019,3.777 +/- 0.022,7.501 +/- 0.053,2.333 +/- 0.028,5.611 +/- 0.035,11.157 +/- 0.063
0.0,Error,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
0.02,Time,0.327 +/- 0.013,0.769 +/- 0.02,1.508 +/- 0.025,0.627 +/- 0.015,1.519 +/- 0.018,2.986 +/- 0.029,1.099 +/- 0.01,2.65 +/- 0.021,5.222 +/- 0.036,1.561 +/- 0.018,3.755 +/- 0.046,7.427 +/- 0.056,2.308 +/- 0.018,5.638 +/- 0.043,11.181 +/- 0.076
0.02,Error,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
0.05,Time,0.337 +/- 0.014,0.77 +/- 0.018,1.516 +/- 0.015,0.639 +/- 0.013,1.499 +/- 0.019,2.968 +/- 0.035,1.103 +/- 0.032,2.616 +/- 0.032,5.211 +/- 0.05,1.563 +/- 0.02,3.758 +/- 0.04,7.463 +/- 0.066,2.507 +/- 0.234,6.776 +/- 0.193,12.887 +/- 0.22
0.05,Error,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
0.2,Time,0.492 +/- 0.098,0.959 +/- 0.081,1.77 +/- 0.091,0.803 +/- 0.091,1.852 +/- 0.116,3.325 +/- 0.134,1.283 +/- 0.068,2.946 +/- 0.09,5.641 +/- 0.198,1.747 +/- 0.083,4.049 +/- 0.111,7.759 +/- 0.086,2.43 +/- 0.061,6.031 +/- 0.158,11.744 +/- 0.157
0.2,Error,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
0.5,Time,0.43 +/- 0.049,0.872 +/- 0.068,1.593 +/- 0.061,0.692 +/- 0.033,1.621 +/- 0.043,3.173 +/- 0.068,1.15 +/- 0.028,2.926 +/- 0.131,5.668 +/- 0.117,1.715 +/- 0.085,4.014 +/- 0.046,8.264 +/- 0.295,2.644 +/- 0.071,6.533 +/- 0.216,12.884 +/- 0.231
0.5,Error,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
0.75,Time,0.46 +/- 0.09,0.917 +/- 0.069,1.728 +/- 0.066,0.742 +/- 0.044,1.681 +/- 0.078,3.216 +/- 0.097,1.196 +/- 0.045,2.814 +/- 0.098,5.707 +/- 0.105,1.753 +/- 0.108,4.033 +/- 0.057,7.84 +/- 0.148,2.503 +/- 0.076,6.17 +/- 0.36,11.879 +/- 0.187
0.75,Error,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
1.0,Time,0.431 +/- 0.054,0.902 +/- 0.046,1.638 +/- 0.055,0.713 +/- 0.052,1.656 +/- 0.058,3.246 +/- 0.099,1.238 +/- 0.072,2.736 +/- 0.143,5.305 +/- 0.127,1.572 +/- 0.023,3.814 +/- 0.046,14.252 +/- 11.984,3.658 +/- 1.464,7.266 +/- 3.077,11.449 +/- 0.133
1.0,Error,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
