Alpha\(I;N),,(100;20),(100;50),(100;100),(200;20),(200;50),(200;100),(350;20),(350;50),(350;100),(500;20),(500;50),(500;100),(750;20),(750;50),(750;100)
0,Time,0.788 +/- 0.114,1.759 +/- 0.054,3.525 +/- 0.126,17.903 +/- 13.202,3.835 +/- 3.959,5.873 +/- 3.895,7.588 +/- 1.59,12.856 +/- 0.142,3.403 +/- 0.065,8.259 +/- 0.125,16.593 +/- 0.287,32.979 +/- 0.602,,,
0,Error,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,,,
0.02,Time,0.718 +/- 0.022,1.693 +/- 0.025,3.377 +/- 0.084,6.779 +/- 0.145,1.391 +/- 0.034,3.383 +/- 0.064,6.629 +/- 0.067,13.227 +/- 0.256,3.438 +/- 0.066,8.335 +/- 0.122,16.617 +/- 0.219,33.161 +/- 0.343,,,
0.02,Error,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,,,
0.05,Time,0.716 +/- 0.018,1.709 +/- 0.045,3.363 +/- 0.077,6.627 +/- 0.104,1.389 +/- 0.016,3.408 +/- 0.077,6.65 +/- 0.094,13.39 +/- 0.131,3.475 +/- 0.052,8.706 +/- 0.173,16.894 +/- 0.198,45.153 +/- 18.169,,,
0.05,Error,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,,,
0.2,Time,0.697 +/- 0.021,2.526 +/- 1.014,3.714 +/- 0.597,6.487 +/- 0.104,1.362 +/- 0.023,3.295 +/- 0.073,6.667 +/- 0.126,13.454 +/- 0.268,3.454 +/- 0.047,8.401 +/- 0.106,16.728 +/- 0.205,33.38 +/- 0.235,,,
0.2,Error,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,,,
0.5,Time,0.721 +/- 0.016,1.711 +/- 0.029,3.408 +/- 0.043,6.8 +/- 0.144,1.403 +/- 0.033,3.419 +/- 0.038,6.762 +/- 0.134,13.371 +/- 0.195,3.477 +/- 0.047,8.436 +/- 0.087,16.648 +/- 0.235,33.4 +/- 0.405,,,
0.5,Error,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,,,
1,Time,0.759 +/- 0.05,1.725 +/- 0.054,3.456 +/- 0.093,13.439 +/- 6.214,3.094 +/- 1.366,3.402 +/- 0.04,6.622 +/- 0.046,28.871 +/- 12.193,9.762 +/- 2.167,8.873 +/- 0.715,32.569 +/- 19.999,34.513 +/- 1.469,,,
1,Error,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,-9.223372036854776E15 +/- 0.0,,,
