Alpha\(I;N),,(350;20),(350;50),(350;100),(750;20),(750;50),(750;100)
0.0,Time,1.36 +/- 0.095,3.108 +/- 0.038,6.179 +/- 0.101,2.726 +/- 0.052,6.596 +/- 0.077,13.005 +/- 0.121
0.0,Error,-0.09 +/- 0.037,-0.013 +/- 0.03,-0.015 +/- 0.041,0.02 +/- 0.017,0.012 +/- 0.023,0.007 +/- 0.012
0.02,Time,1.3 +/- 0.043,3.095 +/- 0.059,6.126 +/- 0.106,2.788 +/- 0.088,6.645 +/- 0.099,13.099 +/- 0.138
0.02,Error,-0.027 +/- 0.031,-0.002 +/- 0.006,0.002 +/- 0.005,-0.008 +/- 0.014,-0.001 +/- 0.005,0.001 +/- 0.002
0.05,Time,1.322 +/- 0.027,3.144 +/- 0.057,6.148 +/- 0.042,2.77 +/- 0.044,6.673 +/- 0.094,13.402 +/- 0.133
0.05,Error,-0.015 +/- 0.01,-0.001 +/- 0.002,0.0 +/- 0.0,-0.002 +/- 0.004,0.0 +/- 0.001,0.0 +/- 0.0
0.2,Time,1.335 +/- 0.051,3.173 +/- 0.055,6.365 +/- 0.219,2.78 +/- 0.033,6.737 +/- 0.076,13.28 +/- 0.17
0.2,Error,-0.001 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.001,0.0 +/- 0.0,0.0 +/- 0.0
0.5,Time,1.288 +/- 0.027,3.144 +/- 0.054,6.227 +/- 0.1,2.783 +/- 0.036,6.751 +/- 0.146,13.399 +/- 0.229
0.5,Error,0.0 +/- 0.001,0.0 +/- 0.001,0.0 +/- 0.001,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
1.0,Time,1.324 +/- 0.032,3.155 +/- 0.051,6.246 +/- 0.076,2.786 +/- 0.046,6.691 +/- 0.224,12.409 +/- 0.105
1.0,Error,-0.005 +/- 0.003,-0.008 +/- 0.005,-0.01 +/- 0.006,-0.006 +/- 0.006,-0.004 +/- 0.004,-0.002 +/- 0.002
