Alpha\(I;N),,(100;20),(100;50),(100;100),(200;20),(200;50),(200;100),(350;20),(350;50),(350;100),(500;20),(500;50),(500;100),(750;20),(750;50),(750;100)
0.0,Time,0.144 +/- 0.048,0.247 +/- 0.012,0.474 +/- 0.017,0.2 +/- 0.012,0.475 +/- 0.012,0.963 +/- 0.047,0.355 +/- 0.021,0.822 +/- 0.014,1.597 +/- 0.026,0.478 +/- 0.02,1.183 +/- 0.026,2.256 +/- 0.059,0.691 +/- 0.01,1.676 +/- 0.033,3.238 +/- 0.043
0.0,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
0.02,Time,0.102 +/- 0.011,0.227 +/- 0.011,0.438 +/- 0.012,0.191 +/- 0.017,0.453 +/- 0.018,0.909 +/- 0.028,0.327 +/- 0.005,0.789 +/- 0.014,1.544 +/- 0.009,0.47 +/- 0.018,1.135 +/- 0.034,2.302 +/- 0.043,0.709 +/- 0.017,1.749 +/- 0.044,3.449 +/- 0.047
0.02,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
0.05,Time,0.108 +/- 0.011,0.242 +/- 0.008,0.477 +/- 0.008,0.205 +/- 0.013,0.47 +/- 0.011,0.939 +/- 0.021,0.352 +/- 0.021,0.823 +/- 0.023,1.61 +/- 0.021,0.494 +/- 0.019,1.169 +/- 0.017,2.296 +/- 0.03,0.736 +/- 0.016,1.763 +/- 0.033,3.463 +/- 0.017
0.05,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
0.2,Time,0.108 +/- 0.011,0.245 +/- 0.016,0.464 +/- 0.014,0.202 +/- 0.018,0.477 +/- 0.013,0.928 +/- 0.021,0.337 +/- 0.011,0.823 +/- 0.017,1.625 +/- 0.051,0.483 +/- 0.018,1.18 +/- 0.028,2.303 +/- 0.045,0.73 +/- 0.017,1.746 +/- 0.014,3.483 +/- 0.047
0.2,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
0.5,Time,0.105 +/- 0.007,0.249 +/- 0.022,0.469 +/- 0.014,0.202 +/- 0.011,0.466 +/- 0.006,0.924 +/- 0.024,0.348 +/- 0.014,0.816 +/- 0.017,1.643 +/- 0.033,0.509 +/- 0.02,1.191 +/- 0.045,2.318 +/- 0.028,0.725 +/- 0.01,1.745 +/- 0.028,3.408 +/- 0.078
0.5,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
0.75,Time,0.103 +/- 0.008,0.236 +/- 0.005,0.448 +/- 0.007,0.197 +/- 0.008,0.463 +/- 0.01,0.905 +/- 0.018,0.334 +/- 0.008,0.799 +/- 0.018,1.619 +/- 0.049,0.499 +/- 0.013,1.205 +/- 0.026,2.336 +/- 0.051,0.725 +/- 0.026,1.753 +/- 0.026,3.492 +/- 0.061
0.75,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
1.0,Time,0.108 +/- 0.008,0.244 +/- 0.01,0.472 +/- 0.015,0.208 +/- 0.026,0.489 +/- 0.023,0.972 +/- 0.025,0.355 +/- 0.012,0.856 +/- 0.022,1.624 +/- 0.028,0.506 +/- 0.024,1.21 +/- 0.053,2.318 +/- 0.038,0.724 +/- 0.016,1.824 +/- 0.069,3.449 +/- 0.039
1.0,Error,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
