Alpha\(I;N),,(100;20),(100;50),(100;100),(200;20),(200;50),(200;100),(350;20),(350;50),(350;100),(500;20),(500;50),(500;100),(750;20),(750;50),(750;100)
0.0,Time,13.829 +/- 9.507,17.216 +/- 2.192,28.536 +/- 1.384,11.29 +/- 0.052,27.626 +/- 0.197,54.675 +/- 0.437,19.91 +/- 0.121,48.412 +/- 0.345,95.784 +/- 0.648,28.564 +/- 0.139,70.011 +/- 1.438,151.725 +/- 28.491,42.741 +/- 0.332,114.216 +/- 33.033,201.542 +/- 1.735
0.0,Error,0.688 +/- 0.382,0.766 +/- 0.357,1.0 +/- 0.0,0.825 +/- 0.349,0.476 +/- 0.428,1.0 +/- 0.0,0.345 +/- 0.43,0.355 +/- 0.424,0.395 +/- 0.401,0.349 +/- 0.428,0.52 +/- 0.481,0.639 +/- 0.443,0.224 +/- 0.393,0.11 +/- 0.3,0.484 +/- 0.517
0.02,Time,5.556 +/- 0.043,13.494 +/- 0.102,26.642 +/- 0.099,11.174 +/- 0.079,27.246 +/- 0.182,53.61 +/- 0.324,19.701 +/- 0.11,48.459 +/- 0.648,95.315 +/- 1.151,28.55 +/- 0.139,68.846 +/- 0.515,137.085 +/- 1.141,42.58 +/- 0.33,103.064 +/- 0.553,205.884 +/- 1.409
0.02,Error,0.382 +/- 0.405,0.22 +/- 0.391,0.007 +/- 0.019,0.15 +/- 0.288,0.021 +/- 0.04,-0.004 +/- 0.004,-0.021 +/- 0.066,0.002 +/- 0.0,-0.004 +/- 0.007,0.028 +/- 0.036,0.011 +/- 0.015,0.002 +/- 0.004,-0.04 +/- 0.007,0.003 +/- 0.005,-0.006 +/- 0.007
0.05,Time,5.732 +/- 0.091,13.877 +/- 0.098,27.508 +/- 0.173,11.643 +/- 0.098,27.96 +/- 0.59,55.155 +/- 0.539,20.105 +/- 0.172,62.076 +/- 27.945,123.663 +/- 30.291,32.31 +/- 2.421,91.956 +/- 21.682,161.035 +/- 1.154,49.85 +/- 0.395,120.709 +/- 0.928,238.198 +/- 1.048
0.05,Error,-0.017 +/- 0.036,0.019 +/- 0.034,0.001 +/- 0.001,0.215 +/- 0.393,-0.006 +/- 0.005,0.0 +/- 0.002,0.001 +/- 0.017,0.004 +/- 0.002,0.0 +/- 0.001,0.012 +/- 0.002,0.002 +/- 0.002,0.0 +/- 0.001,-0.001 +/- 0.01,-0.001 +/- 0.004,-0.001 +/- 0.001
0.2,Time,6.729 +/- 0.11,16.055 +/- 0.206,31.791 +/- 0.371,13.153 +/- 0.139,31.998 +/- 0.253,63.197 +/- 0.781,23.137 +/- 0.135,56.41 +/- 0.518,111.268 +/- 1.159,33.201 +/- 0.314,80.423 +/- 0.393,159.275 +/- 0.863,49.357 +/- 0.354,119.905 +/- 0.615,237.832 +/- 1.309
0.2,Error,0.301 +/- 0.458,0.0 +/- 0.0,0.0 +/- 0.0,-0.021 +/- 0.024,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.002,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.001,0.0 +/- 0.0,0.0 +/- 0.0,-0.001 +/- 0.002,0.0 +/- 0.0,0.0 +/- 0.0
0.5,Time,6.652 +/- 0.092,16.08 +/- 0.084,31.875 +/- 0.322,13.359 +/- 0.208,32.114 +/- 0.306,63.837 +/- 0.39,23.225 +/- 0.339,56.135 +/- 0.358,111.593 +/- 1.265,33.162 +/- 0.361,80.984 +/- 1.277,161.894 +/- 1.593,49.961 +/- 0.632,120.182 +/- 1.473,243.291 +/- 3.803
0.5,Error,0.4 +/- 0.49,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
0.75,Time,6.871 +/- 0.097,16.809 +/- 0.228,33.009 +/- 0.388,13.614 +/- 0.157,58.633 +/- 28.746,95.739 +/- 34.425,26.816 +/- 0.42,88.691 +/- 40.656,117.503 +/- 4.442,34.629 +/- 0.239,85.541 +/- 0.841,171.354 +/- 2.281,64.594 +/- 17.54,125.933 +/- 1.474,329.631 +/- 114.914
0.75,Error,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
1.0,Time,6.818 +/- 0.091,16.704 +/- 0.123,61.955 +/- 21.341,32.92 +/- 8.517,50.288 +/- 15.393,52.027 +/- 1.78,18.728 +/- 0.077,44.926 +/- 0.217,89.454 +/- 0.251,26.536 +/- 0.084,64.769 +/- 0.313,127.754 +/- 0.477,39.904 +/- 0.149,97.423 +/- 0.859,192.154 +/- 0.97
1.0,Error,0.3 +/- 0.458,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
