,(100;20),(100;50),(100;100),(200;20),(200;50),(200;100),(350;20),(350;50),(350;100),(500;20),(500;50),(500;100),(750;20),(750;50),(750;100)
UD ?=0,0.018,-0.106,-0.117,-0.134,-0.09,-0.166,-0.089,-0.045,-0.094,-0.102,-0.11,-0.065,-0.027,-0.07,-0.09
UD ?=0.02,0.003,0.011,-0.003,-0.006,0,0.001,0.002,-0.003,-0.002,-0.002,-0.005,-0.001,0.004,0.002,-0.002
UD ?=0.05,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.004,0.001,0.001,-0.002,0,0,-0.002,-0.001,0
UD ?=0.2,0.006,-0.001,0,0.001,0,-0.001,-0.001,0,0.001,0.001,0,-0.001,0,-0.001,-0.001
UD ?=0.5,0.002,0,0.001,0.001,0,-0.001,0,-0.002,0.001,0.001,0,-0.002,0,-0.001,-0.001
UD ?=0.75,-0.013,-0.015,-0.017,-0.006,-0.005,-0.006,-0.001,-0.001,0,0,-0.002,-0.002,0,-0.002,-0.002
UD ?=1,-0.391,-0.352,-0.36,-0.18,-0.124,-0.113,-0.066,-0.051,-0.008,-0.002,-0.001,-0.012,-0.006,-0.002,-0.005
LW ?=0,-0.037,-0.03,-0.077,-0.055,-0.063,-0.068,0.009,-0.054,-0.036,-0.052,-0.015,-0.038,0.001,-0.007,-0.02
LW ?=0.02,-0.024,0.009,0.001,0.009,0.002,-0.002,-0.015,-0.001,0,-0.005,-0.005,-0.002,-0.004,0,0
LW ?=0.05,-0.005,0.002,0,0,0.001,-0.001,0.001,-0.001,0.001,0,0.001,-0.001,0.002,-0.001,-0.001
LW ?=0.2,0.005,0.001,-0.001,0.001,0,-0.001,0,-0.001,0,0.001,0,-0.001,0,0,-0.001
LW ?=0.5,-0.003,-0.004,-0.007,0.001,0,-0.001,-0.001,-0.001,0.001,0,0,-0.001,0,-0.001,-0.001
LW ?=0.75,-0.028,-0.029,-0.025,-0.002,-0.004,-0.003,0,-0.001,0,0,0,-0.002,0,-0.001,-0.002
LW ?=1,-0.057,-0.073,-0.07,-0.023,-0.025,-0.024,-0.054,-0.034,-0.043,-0.01,-0.009,-0.008,-0.005,-0.002,-0.011
